source_url,target_url,status_code,segment,lastmod,intent_tier,must_fix_before_launch,rule_type,notes
https://gameye.com/unity-multiplay-migration/,https://gameye.com/blog/how-to-move-from-unity-game-server-hosting-to-gameye/,301,unity-multiplay-migration,2026-02-17T23:34:09+00:00,Critical Revenue,yes,specific,Manual mapping based on closest intent match
https://gameye.com/pricing-2026/,https://gameye.com/pricing/,301,pricing-2026,2026-01-27T22:02:13+00:00,Critical Revenue,yes,specific,Manual mapping based on closest intent match
https://gameye.com/comparison/gameye-vs-edgegap-best-edgegap-alternative-2026/,https://gameye.com/comparison/gameye-vs-edgegap/,301,comparison,2026-02-18T04:04:46+00:00,Critical Revenue,yes,specific,Manual mapping based on closest intent match
https://gameye.com/comparison/hathora/,https://gameye.com/comparison/gameye-vs-hathora/,301,comparison,2026-01-30T15:16:54+00:00,Critical Revenue,yes,specific,Manual mapping based on closest intent match
https://gameye.com/comparison/aws-gamelift/,https://gameye.com/comparison/gameye-vs-gamelift/,301,comparison,2026-01-30T15:16:19+00:00,Critical Revenue,yes,specific,Manual mapping based on closest intent match
https://gameye.com/observability-platform/,https://gameye.com/platform/,301,observability-platform,2025-12-15T14:03:33+00:00,Critical Revenue,yes,specific,Manual mapping based on closest intent match
https://gameye.com/infrastructure-cost-audit/,https://gameye.com/pricing/,301,infrastructure-cost-audit,2025-12-12T19:33:42+00:00,Critical Revenue,yes,specific,Manual mapping based on closest intent match
https://gameye.com/get-access/,https://gameye.com/contact-us/,301,get-access,2025-12-13T21:55:04+00:00,Critical Revenue,yes,specific,Manual mapping based on closest intent match
https://gameye.com/comparison/agones/,https://gameye.com/comparison/gameye-vs-agones/,301,comparison,2026-01-30T15:16:31+00:00,Critical Revenue,yes,specific,Manual mapping based on closest intent match
https://gameye.com/aws-gameye/,https://gameye.com/platform/,301,aws-gameye,2025-03-20T12:06:49+00:00,Critical Revenue,yes,specific,Manual mapping based on closest intent match
https://gameye.com/report-multiplayer-game-business/,https://gameye.com/blog/,301,report-multiplayer-game-business,2025-03-19T10:59:21+00:00,Medium,no,specific,Manual mapping based on closest intent match
https://gameye.com/timeline-demo/,https://gameye.com/blog/,301,timeline-demo,2025-01-07T10:53:49+00:00,Medium,no,specific,Manual mapping based on closest intent match
https://gameye.com/gameye-partners/,https://gameye.com/platform/,301,gameye-partners,2025-01-29T13:24:02+00:00,High Trust,no,specific,Manual mapping based on closest intent match
https://gameye.com/book-a-call-us/,https://gameye.com/contact-us/,301,book-a-call-us,2024-12-08T21:32:38+00:00,Medium,no,specific,Manual mapping based on closest intent match
https://gameye.com/book-a-call-eu/,https://gameye.com/contact-us/,301,book-a-call-eu,2024-12-08T21:29:18+00:00,Medium,no,specific,Manual mapping based on closest intent match
https://gameye.com/gamescom-2024-dinner-rsvp/,https://gameye.com/contact-us/,301,gamescom-2024-dinner-rsvp,2024-08-01T09:32:28+00:00,Medium,no,specific,Manual mapping based on closest intent match
https://gameye.com/specialists-for-your-infrastructure/,https://gameye.com/platform/,301,specialists-for-your-infrastructure,2025-03-19T11:01:24+00:00,Critical Revenue,yes,specific,Manual mapping based on closest intent match
https://gameye.com/gdc-2024-get-in-touch/,https://gameye.com/contact-us/,301,gdc-2024-get-in-touch,2024-03-04T16:10:29+00:00,Medium,no,specific,Manual mapping based on closest intent match
https://gameye.com/gamescom-2024-form-submission-page/,https://gameye.com/contact-us/,301,gamescom-2024-form-submission-page,2024-08-13T12:18:12+00:00,Medium,no,specific,Manual mapping based on closest intent match
https://gameye.com/newsletter/,https://gameye.com/blog/,301,newsletter,2025-03-19T10:35:07+00:00,Medium,no,specific,Manual mapping based on closest intent match
https://gameye.com/image-sources/,https://gameye.com/blog/,301,image-sources,2023-11-26T17:23:32+00:00,Medium,no,specific,Manual mapping based on closest intent match
https://gameye.com/terms-and-conditions/,https://gameye.com/,301,terms-and-conditions,2023-11-27T09:36:15+00:00,Critical Compliance,yes,specific,Manual mapping based on closest intent match
https://gameye.com/privacy-policy/,https://gameye.com/,301,privacy-policy,2025-12-01T17:09:39+00:00,Critical Compliance,yes,specific,Manual mapping based on closest intent match
https://gameye.com/glossary/,https://gameye.com/docs/,301,glossary,2023-11-27T09:35:25+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/careers/,https://gameye.com/contact-us/,301,careers,2025-03-19T12:36:06+00:00,High Trust,no,specific,Manual mapping based on closest intent match
https://gameye.com/about-us/,https://gameye.com/platform/,301,about-us,2025-12-01T21:05:23+00:00,High Trust,yes,specific,Manual mapping based on closest intent match
https://gameye.com/integrations/,https://gameye.com/docs/integrations/,301,integrations,2025-03-20T12:43:42+00:00,High Trust,no,specific,Manual mapping based on closest intent match
https://gameye.com/pick-your-approach/,https://gameye.com/comparison/,301,pick-your-approach,2025-03-19T10:40:33+00:00,Medium,no,specific,Manual mapping based on closest intent match
https://gameye.com/case-studies/nubs-arena/,https://gameye.com/case-studies/,301,case-studies,2025-06-19T14:50:02+00:00,High Trust,no,section,Case study detail not yet migrated; route to case studies hub
https://gameye.com/blog/gameye-and-idem/,https://gameye.com/blog/,301,blog,2024-12-11T11:22:48+00:00,Medium SEO,no,section,Blog archive item not yet migrated; route to blog hub
https://gameye.com/blog/top-ten-metrics-for-your-server-infrastructure/,https://gameye.com/blog/,301,blog,2024-12-11T11:54:49+00:00,Medium SEO,no,section,Blog archive item not yet migrated; route to blog hub
https://gameye.com/glossary/elasticsearch/,https://gameye.com/docs/,301,glossary,2024-08-14T11:42:38+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/glossary/staging/,https://gameye.com/docs/,301,glossary,2024-08-13T16:23:43+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/glossary/scalability/,https://gameye.com/docs/,301,glossary,2024-08-13T16:22:27+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/glossary/sandbox-environment/,https://gameye.com/docs/,301,glossary,2024-08-13T16:18:31+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/glossary/repo/,https://gameye.com/docs/,301,glossary,2024-08-13T16:17:02+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/glossary/observability/,https://gameye.com/docs/,301,glossary,2024-08-13T16:14:56+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/glossary/netcode/,https://gameye.com/docs/,301,glossary,2024-08-13T16:13:26+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/glossary/monitoring/,https://gameye.com/docs/,301,glossary,2024-08-13T16:11:24+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/glossary/logstash/,https://gameye.com/docs/,301,glossary,2024-08-13T16:09:52+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/glossary/microservice/,https://gameye.com/docs/,301,glossary,2024-08-13T16:08:14+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/glossary/kibana/,https://gameye.com/docs/,301,glossary,2024-08-13T16:05:05+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/glossary/infrastructure-automation/,https://gameye.com/docs/,301,glossary,2024-08-13T16:03:31+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/glossary/infrastructure/,https://gameye.com/docs/,301,glossary,2024-08-13T16:02:20+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/glossary/image-executable/,https://gameye.com/docs/,301,glossary,2024-08-13T16:00:28+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/glossary/beats/,https://gameye.com/docs/,301,glossary,2024-08-13T14:27:48+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/glossary/elastic-stack/,https://gameye.com/docs/,301,glossary,2024-08-13T14:26:01+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/glossary/edge-node/,https://gameye.com/docs/,301,glossary,2024-08-13T14:21:41+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/glossary/docker/,https://gameye.com/docs/,301,glossary,2024-08-13T14:19:58+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/glossary/deployment/,https://gameye.com/docs/,301,glossary,2024-08-13T14:17:28+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/glossary/ddos/,https://gameye.com/docs/,301,glossary,2024-08-13T14:14:08+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/glossary/continuous-integration/,https://gameye.com/docs/,301,glossary,2024-08-13T14:11:04+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/glossary/cdn/,https://gameye.com/docs/,301,glossary,2024-08-13T14:07:21+00:00,Low SEO,no,section,Glossary not yet migrated; route to docs hub
https://gameye.com/blog/how-to-test-your-server-infrastructure/,https://gameye.com/blog/,301,blog,2024-12-11T11:56:38+00:00,Medium SEO,no,section,Blog archive item not yet migrated; route to blog hub
https://gameye.com/blog/do-your-due-diligence-what-to-ask-when-picking-infrastructure-partners/,https://gameye.com/blog/,301,blog,2024-12-11T11:57:34+00:00,Medium SEO,no,section,Blog archive item not yet migrated; route to blog hub
https://gameye.com/blog/playtest-faster-with-bespokeci-and-gameye/,https://gameye.com/blog/,301,blog,2024-12-11T11:58:14+00:00,Medium SEO,no,section,Blog archive item not yet migrated; route to blog hub
https://gameye.com/blog/avoid-bad-reviews-haunting-your-game-for-years/,https://gameye.com/blog/,301,blog,2024-12-11T11:59:04+00:00,Medium SEO,no,section,Blog archive item not yet migrated; route to blog hub
https://gameye.com/blog/new-recruits-to-join-our-ranks/,https://gameye.com/blog/,301,blog,2025-03-19T12:34:37+00:00,Medium SEO,no,section,Blog archive item not yet migrated; route to blog hub
https://gameye.com/blog/craig-fletcher-joins-our-team/,https://gameye.com/blog/,301,blog,2024-12-11T12:00:07+00:00,Medium SEO,no,section,Blog archive item not yet migrated; route to blog hub
https://gameye.com/blog/is-2024-really-the-year-of-server-issues/,https://gameye.com/blog/,301,blog,2025-03-19T12:20:18+00:00,Medium SEO,no,section,Blog archive item not yet migrated; route to blog hub
https://gameye.com/blog/multiplayer-talks-to-check-out-at-gdc/,https://gameye.com/blog/,301,blog,2024-12-11T12:00:44+00:00,Medium SEO,no,section,Blog archive item not yet migrated; route to blog hub
https://gameye.com/blog/avoiding-the-cap-trap-that-helldivers-2-fell-into/,https://gameye.com/blog/,301,blog,2025-03-19T11:38:42+00:00,Medium SEO,no,section,Blog archive item not yet migrated; route to blog hub
